21:38:48.118 [main] INFO  LexemeHandler - Word: a
21:38:48.118 [main] INFO  WordHandler - Letter: a
21:38:48.118 [main] INFO  SentenceHandler - Lexeme: long
21:38:48.119 [main] INFO  LexemeHandler - Word: long
21:38:48.119 [main] INFO  WordHandler - Letter: l
21:38:48.119 [main] INFO  WordHandler - Letter: o
21:38:48.119 [main] INFO  WordHandler - Letter: n
21:38:48.119 [main] INFO  WordHandler - Letter: g
21:38:48.119 [main] INFO  SentenceHandler - Lexeme: a!=b
21:38:48.119 [main] INFO  LexemeHandler - Word: a
21:38:48.119 [main] INFO  WordHandler - Letter: a
21:38:48.119 [main] INFO  LexemeHandler - Word: !=b
21:38:48.119 [main] INFO  WordHandler - Punct in word: !
21:38:48.119 [main] INFO  WordHandler - Punct in word: =
21:38:48.119 [main] INFO  WordHandler - Letter: b
21:38:48.119 [main] INFO  SentenceHandler - Lexeme: established
21:38:48.119 [main] INFO  LexemeHandler - Word: established
21:38:48.119 [main] INFO  WordHandler - Letter: e
21:38:48.119 [main] INFO  WordHandler - Letter: s
21:38:48.119 [main] INFO  WordHandler - Letter: t
21:38:48.119 [main] INFO  WordHandler - Letter: a
21:38:48.119 [main] INFO  WordHandler - Letter: b
21:38:48.119 [main] INFO  WordHandler - Letter: l
21:38:48.119 [main] INFO  WordHandler - Letter: i
21:38:48.119 [main] INFO  WordHandler - Letter: s
21:38:48.120 [main] INFO  WordHandler - Letter: h
21:38:48.120 [main] INFO  WordHandler - Letter: e
21:38:48.120 [main] INFO  WordHandler - Letter: d
21:38:48.120 [main] INFO  SentenceHandler - Lexeme: fact
21:38:48.120 [main] INFO  LexemeHandler - Word: fact
21:38:48.120 [main] INFO  WordHandler - Letter: f
21:38:48.120 [main] INFO  WordHandler - Letter: a
21:38:48.120 [main] INFO  WordHandler - Letter: c
21:38:48.120 [main] INFO  WordHandler - Letter: t
21:38:48.120 [main] INFO  SentenceHandler - Lexeme: that
21:38:48.120 [main] INFO  LexemeHandler - Word: that
21:38:48.120 [main] INFO  WordHandler - Letter: t
21:38:48.120 [main] INFO  WordHandler - Letter: h
21:38:48.120 [main] INFO  WordHandler - Letter: a
21:38:48.120 [main] INFO  WordHandler - Letter: t
21:38:48.120 [main] INFO  SentenceHandler - Lexeme: a
21:38:48.120 [main] INFO  LexemeHandler - Word: a
21:38:48.120 [main] INFO  WordHandler - Letter: a
21:38:48.120 [main] INFO  SentenceHandler - Lexeme: reader
21:38:48.120 [main] INFO  LexemeHandler - Word: reader
21:38:48.120 [main] INFO  WordHandler - Letter: r
21:38:48.120 [main] INFO  WordHandler - Letter: e
21:38:48.120 [main] INFO  WordHandler - Letter: a
21:38:48.120 [main] INFO  WordHandler - Letter: d
21:38:48.120 [main] INFO  WordHandler - Letter: e
